X,Y,gid,Name,description,altitudeMode,extrude
-122.084146425111,37.4223273875591,1,Building 40,,relativeToGround,1
-122.085557241108,37.4224810116014,2,Building 41,,relativeToGround,1
-122.085600894584,37.4216495400857,3,Building 42,,relativeToGround,1
-122.083974060629,37.4215979611808,4,Building 43,,relativeToGround,1
